antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_text,consequents_text,rule_type
['keyword:baryon'],['cluster:0'],0.0012000900067505062,0.09963247243543266,0.0011500862564692352,0.9583333333333334,9.618684650773735,1.0,0.0010305183219516273,21.608820661549633,0.8971122964388292,0.011537496864810634,0.953722601725351,0.4849383103304057,['keyword:baryon'],['cluster:0'],keyword_to_topic
['keyword:qcd'],['cluster:0'],0.0028502137660324526,0.09963247243543266,0.002700202515188639,0.9473684210526315,9.508631050650465,1.0,0.00241622867070932,17.106983023726762,0.8973901439488281,0.027060886995740416,0.9415443390214958,0.4872350260846596,['keyword:qcd'],['cluster:0'],keyword_to_topic
['keyword:lhc'],['cluster:0'],0.003150236267720079,0.09963247243543266,0.00297522314173563,0.9444444444444444,9.479283423950926,1.0,0.002661357313626909,16.206615496162204,0.8973336067641674,0.029809619238476952,0.9382968023004677,0.4871532134392862,['keyword:lhc'],['cluster:0'],keyword_to_topic
['keyword:production'],['cluster:0'],0.0034752606445483413,0.09963247243543266,0.00320024001800135,0.9208633093525179,9.242602204309325,1.0,0.0028539912076274436,11.377371484679523,0.8949154263259572,0.032032032032032025,0.9121062363704505,0.4764918805231849,['keyword:production'],['cluster:0'],keyword_to_topic
['keyword:form_factors'],['cluster:0'],0.0011250843813285997,0.09963247243543266,0.0010250768807660575,0.9111111111111111,9.144720479576188,1.0,0.0009129819421558,10.12913468510138,0.8916504683669184,0.010278265229380797,0.9012748836807485,0.460699846647149,['keyword:form_factors'],['cluster:0'],keyword_to_topic
['keyword:searches'],['cluster:0'],0.0011750881316098707,0.09963247243543266,0.001050078755906693,0.8936170212765958,8.96913425345044,1.0,0.0009330018200248685,8.463454759106938,0.8895518207282912,0.010526315789473684,0.881844940575364,0.4520782722443205,['keyword:searches'],['cluster:0'],keyword_to_topic
['keyword:cross_section'],['cluster:0'],0.001375103132734955,0.09963247243543266,0.001225091881891142,0.890909090909091,8.941955058743014,1.0,0.0010880869569230493,8.253369002675205,0.8893906368315689,0.01227762465547482,0.878837357244555,0.4516026006615718,['keyword:cross_section'],['cluster:0'],keyword_to_topic
['keyword:susy'],['cluster:0'],0.0014251068830162263,0.09963247243543266,0.0012500937570317774,0.8771929824561403,8.80428800986154,1.0,0.0011081068347921178,7.331564153025759,0.8876840260390584,0.012525050100200401,0.8636034577168235,0.4448700169495256,['keyword:susy'],['cluster:0'],keyword_to_topic
['keyword:cms'],['cluster:0'],0.0013501012575943196,0.09963247243543266,0.0011750881316098707,0.8703703703703703,8.735810214229286,1.0,0.0010405742052775617,6.945692355498089,0.8867258183336787,0.011773547094188376,0.8560258720344248,0.4410822993633533,['keyword:cms'],['cluster:0'],keyword_to_topic
['keyword:atlas'],['cluster:0'],0.0019001425106883016,0.09963247243543266,0.0015751181338600395,0.8289473684210527,8.320052169319156,1.0,0.0013858022375404936,5.2636870842236245,0.8814833900127355,0.015757878939469734,0.8100191018198613,0.4223783266195602,['keyword:atlas'],['cluster:0'],keyword_to_topic
